seq,send_ts_ms,rtt_ms,est_oneway_ms
527,122561938.376109,6.94647,3.473235
528,122561965.177934,10.597675,5.298837
529,122563700.671576,8.136826,4.068413
530,122566426.832903,20.703336,10.351668
531,122566532.378851,9.652626,4.826313
532,122566706.684216,8.305022,4.152511
533,122566835.92968,8.307213,4.153606
534,122566961.699715,8.091379,4.045689
535,122567098.738515,9.475655,4.737827
536,122567235.554055,10.970829,5.485414
537,122567359.630237,15.108117,7.554058
538,122567777.696187,8.557705,4.278852
539,122567824.844602,7.030862,3.515431
540,122567912.06013,8.462414,4.231207
541,122567955.156083,9.3144,4.6572
542,122568158.743544,6.081745,3.040872
543,122568224.671589,8.163162,4.081581
544,122568225.795786,8.387195,4.193597
545,122568393.687686,7.037246,3.518623
546,122568402.765465,5.731683,2.865841
547,122568433.493426,9.571875,4.785937
548,122568543.804751,9.530409,4.765204
549,122568554.555974,7.22576,3.61288
550,122568663.725121,9.42525,4.712625
551,122568666.878868,8.596352,4.298176
552,122568707.984727,6.165365,3.082682
553,122568724.91356,9.14718,4.57359
554,122568759.2499,5.978101,2.98905
555,122568769.966194,6.182939,3.091469
556,122568804.033655,6.165895,3.082947
557,122581079.687894,14.076556,7.038278
558,122581266.40723,8.315827,4.157913
559,122581325.409698,9.001595,4.500797
560,122581489.314005,12.830334,6.415167
561,122581558.697839,7.102757,3.551378
562,122581662.455054,8.367941,4.18397
563,122581738.846602,6.955621,3.47781
564,122581858.558981,9.804647,4.902323
565,122581935.427277,6.578368,3.289184
566,122582069.811772,6.720709,3.360354
567,122582178.427376,7.673845,3.836922
568,122582338.131219,72.680826,36.340413
569,122582444.072705,63.291697,31.645848
570,122582663.925271,8.665097,4.332548
571,122582797.997923,9.265138,4.632569
572,122583019.515501,10.927403,5.463701
573,122583146.304463,7.000611,3.500305
574,122583361.630083,19.050166,9.525083
575,122583692.626103,6.588885,3.294442
576,122584441.336912,8.207294,4.103647
577,122588074.103546,16.005449,8.002724
578,122588079.770155,12.633629,6.316814
579,122588147.021726,7.014427,3.507213
580,122588730.176716,12.939212,6.469606
581,122588857.569415,9.464248,4.732124
582,122588859.920512,7.225055,3.612527
583,122589259.418252,57.398291,28.699145
584,122589280.123368,39.175881,19.58794
585,122589283.421939,36.06392,18.03196
586,122590551.274064,11.336903,5.668451
587,122590650.137444,6.431377,3.215688
588,122590666.076364,7.050359,3.525179
589,122590701.238363,7.017561,3.50878
590,122591024.041738,35.479013,17.739506
591,122591100.341238,9.947647,4.973823
592,122591142.396656,7.205944,3.602972
593,122591245.851877,6.482414,3.241207
594,122591270.613363,7.200354,3.600177
595,122592401.122493,7.205281,3.60264
596,122592403.271617,8.714698,4.357349
597,122592419.474061,5.848373,2.924186
598,122595029.841983,9.361505,4.680752
599,122595174.603771,7.189707,3.594853
600,122595387.803178,8.310799,4.155399
601,122595613.804474,10.344082,5.172041
602,122595626.636553,7.946642,3.973321
603,122595641.603486,5.74291,2.871455
604,122596037.311903,11.844847,5.922423
605,122596038.367542,11.967915,5.983957
606,122596041.65406,8.748047,4.374023
607,122596215.340642,9.441498,4.720749
608,122596223.939925,5.488338,2.744169
609,122596276.780881,5.626605,2.813302
610,122596484.315953,7.126968,3.563484
611,122596513.475447,5.837753,2.918876
612,122596539.052713,7.035502,3.517751
613,122596752.128098,8.242634,4.121317
614,122596764.526259,10.259504,5.129752
615,122596802.571246,6.048147,3.024073
